deidentified_id_code,gender,gender_other,term,age,r_mem_s_4_text,r_mem_s_13_valence,race_primary,birth_country,ethnic_identify,ethnic_other,,,
104,Woman,[Decline to Answer],F18,21,My boyfriend cheating on me,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
106,Woman,[Decline to Answer],F18,21,My boyfriend breaking up with me.,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
107,Woman,[Decline to Answer],F18,20,"This recurrent memory stems from either feeling of insecurity, rejection, or emotional pain. They spontaneously come to mind during times of study, or getting ready and disrupt my productiveness and ability to function.",-2,"South Asian (e.g. Pakistani, Indian)",India,Canadian,[Decline to Answer],,,
108,Man,[Decline to Answer],F18,23,family problems.,-2,West Indian/Caribbean,Canada,Canadian,[Decline to Answer],,,
110,Woman,[Decline to Answer],F18,23,"Earlier this year I was sexually assaulted, so needless to say this event has been on my mind a lot.",-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
113,Woman,na,F18,21,conflict with friends what a few years ago. The different days and events that escalated the conflict. The conversations before the conflict as well as the ones attempting to resolve it.,-2,White/Caucasian,Canada,Canadian,na,,,
114,Man,[Decline to Answer],F18,21,"I became quite depressed towards the end of a school term and this was impairing my ability to study. I went into the following term with a large backlog of incomplete assignments. I failed to complete some of these assignments and consequently, failed a course.",-2,"East Asian (e.g. Chinese, Japanese, Korean)",Canada,Canadian,[Decline to Answer],,,
119,Woman,[Decline to Answer],F18,21,"I think often about the day I found out my dad has had a heart attack while on his way to work, and the aftermath of that event. I was at home working on some software language lessons when I got the phone call that my dad was in the hospital. I remember feeling shocked, confused and in denial. I felt guilty as well because I had been exposing my dad to a lot of pressure in the weeks leading to his heart attack",-2,Middle Eastern,Egypt,Egyptian,[Decline to Answer],,,
123,Woman,N/A,F18,22,"being chased in a yellow maze, ended up in bathtub, got caught, and woke up",-2,"East Asian (e.g. Chinese, Japanese, Korean)",Canada,Canadian,N/A,,,
124,Gender queer / Gender non-conforming / Gender non-binary,Non binary,F18,19,assault,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
126,Woman,[Decline to Answer],F18,18,Reliving scary suicide attempt,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
127,Woman,[Decline to Answer],F18,18,prefer not to say,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
129,Woman,n/a,F18,19,"my reoccurring memories often have a theme to it, it is my elementary school experience. I was bullied from JK-Grade 8, and in high school I repressed my memory of many terrible situations that occurred. I now vividly remember small,  but hurtful interactions.",-2,White/Caucasian,Canada,Canadian,n/a,,,
130,Woman,[Decline to Answer],F18,19,A really close friend of mine cutting me out of their life. Not easy.,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
134,Woman,N/A,F18,19,"I said the word ""retarded"" at work to a coworker a few months ago. I felt immediately horrible and embarrassed and apologized. The coworker said that it's understandable to make slips like that but the important thing is that one is accountable and corrects their language.",-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
135,Woman,[Decline to Answer],F18,19,Someone left,-2,"East Asian (e.g. Chinese, Japanese, Korean)",China,Canadian,[Decline to Answer],,,
142,Woman,[Decline to Answer],F18,19,I get anxious and stressed about how this experience affects every aspect of my life. It is constantly on my mind and I often think about how it will affect my future. It greatly impacts my self esteem negatively.,-2,Other not listed above,Canada,Canadian,[Decline to Answer],,,
144,Woman,[Decline to Answer],F18,20,"I was 8 years old when a trusted adult, later finding out he was a pedophile drunk, adjusted my bra strap when I was playing a Wii Fit game with my best friend.",-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
145,Woman,[Decline to Answer],F18,19,I was reminded of how the events unfolded and the feelings i had attached to them - strengthening my desire to live better,-2,"South Asian (e.g. Pakistani, Indian)",Canada,Indian (from India),[Decline to Answer],,,
147,Woman,[Decline to Answer],F18,19,best friend told me she was going to be dating my ex,-2,"South Asian (e.g. Pakistani, Indian)",India,Indian (from India),[Decline to Answer],,,
148,Woman,[Decline to Answer],F18,19,a time i felt very anxious and sad,-2,[Decline to Answer],Canada,[Decline to Answer],[Decline to Answer],,,
149,Woman,n/a,F18,19,Usually memories where I was emotionally negatively affected pop up the most. they pop up when in similar situations that remind me of the past. sometimes they pop up when I'm just not thinking of anything.,-2,Black/African,Ethiopia,Other not listed,Ethiopian,,,
150,Woman,[Decline to Answer],F18,19,My boyfriend and I were in the car when someone in the other line shout at us with very rude and offensive words because he thought my boyfriend was not obeying the rules. Then he judged us because of our car and he thought we don’t work hard.,-2,"East Asian (e.g. Chinese, Japanese, Korean)",China,Chinese,[Decline to Answer],,,
154,Woman,n/a,F18,19,It was a clear night and it was a holiday. There were lights everywhere. A loud boom rumbled.,-2,"East Asian (e.g. Chinese, Japanese, Korean)",China,Canadian,[Decline to Answer],,,
155,Woman,[Decline to Answer],F18,19,Being in a car accident,-2,White/Caucasian,UK,British/English,[Decline to Answer],,,
156,Man,[Decline to Answer],F18,19,"Chatting online with a new friend.  Feeling strongly that I would place a great deal of trust in them.  Yet being rended inside, sensing that I would try to drift apart from them within a year's time.",-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
158,Woman,[Decline to Answer],F18,20,"two main ones, 
1 being the drama in the summer with immature friends 
and 2. when I was physically and sexually used by someone",-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
160,Woman,N/A.,F18,19,"I remembered most of the events that led to significant distress in my life, for example being discriminated against, taken opportunities away from, physically, mentally and emotionally hurt and abused, losing friends because of trust issues and heartbreak, trauma overall etc.",-2,"South Asian (e.g. Pakistani, Indian)",India,Indian (from India),N/A.,,,
161,Woman,[Decline to Answer],F18,18,"I remember a particularly long period of time I spent in a hospital, especially when there are certain smells around. More specifically I remember walking around the ward with my IV. I'm not entirely sure the kinds of memory intrusions I experience fall into the description of what's outlined here, most of them have to do with particular people rather than specific events with those people......",-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
162,Woman,[Decline to Answer],F18,19,Being abandoned by my mother at the age of 7,-2,"East Asian (e.g. Chinese, Japanese, Korean)",China,Chinese,[Decline to Answer],,,
164,Woman,[Decline to Answer],F18,19,An individual was violating my private space without my permission which made me feel unsafe.,-2,"South Asian (e.g. Pakistani, Indian)",Other Asian country,Indian (from India),[Decline to Answer],,,
166,Woman,[Decline to Answer],F18,19,Memory from my childhood of a situation with a distinct emotion attached.,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
167,Woman,[Decline to Answer],F18,20,"i remember feeling angry. Not understanding why, there is a lot of resent. I remember feeling reckless and emotional. The individual accused me of things i had not done, and was very persistent. This reminds me of feeling crazy and desperate.",-2,White/Caucasian,Canada,Romanian,[Decline to Answer],,,
173,Woman,[Decline to Answer],F18,18,Embarrassing stories.,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
176,Woman,[Decline to Answer],F18,20,Remembering things a person has said and done in the past.,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
181,Woman,N/A,F18,19,Memory involves a traumatic experience from my past and moderately good experiences from the near past,-2,Other not listed above,Canada,Other not listed,I am half caucasian and half hispanic,,,
182,Man,[Decline to Answer],F18,19,The memory is of a confrontation with a close family member during the summer. The conversation brought a lot of feelings to the surface for both parties and ended negatively. The situation had a small ripple effect into other activities going on in my life and required the parties to meet again and make up.,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
190,Woman,[Decline to Answer],F18,NA,Memories of a breakup,-2,"East Asian (e.g. Chinese, Japanese, Korean)",Taiwan,[Decline to Answer],[Decline to Answer],,,
191,Woman,n/a,F18,29,The passing of my grandpa and mistreatment by paramedic staff,-2,White/Caucasian,Canada,Canadian,n/a,,,
192,Man,[Decline to Answer],F18,26,"Almost got into a fist fight at a gas station. A random observer intervened and stopped it before things really got going. The memory seems to randomly intrude into my consciousness every once in a while, without any consistent triggers. Im still not sure what the right thing to do in that situation was, and it bothers me. Part of me is happy things cooled down before they got out of control - part of me regrets not sending the other guy to the hospital. I know that sounds bad, but you weren't there.",-2,White/Caucasian,Canada,Canadian,NA,,,
194,Woman,[Decline to Answer],F18,20,situation having to do with a conflict at work with someone who also got promoted the same time I did. It was tough to go through and emotionally and mentally exhausting. I was happy when I returned to school to get away from it. I feel like I am in a much better environment.,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
196,Woman,[Decline to Answer],F18,18,It happened during Frosh week at Waterloo last year. My best friend and I got into a serious argument about something personal and I completely cut him off after that day.,-2,"South Asian (e.g. Pakistani, Indian)",Pakistan,Pakistani,[Decline to Answer],,,
199,Woman,[Decline to Answer],F18,19,My mother attempted suicide multiple times. Calling the ambulance or being at the hospital frequently are frequent recollections of mine that intrude my thoughts when I let my mind wander.,-2,White/Caucasian,Canada,Polish,[Decline to Answer],,,
201,Woman,[Decline to Answer],F18,21,"I became ill when I was very young and had to ride in an air ambulance to be transported to hospital. Being very young, I was afraid being away from my parents for that time. I spent 2 weeks in the hospital before I was released.",-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
202,Man,[Decline to Answer],F18,22,all about some extremely embarrassed moment,-2,"East Asian (e.g. Chinese, Japanese, Korean)",China,Chinese,[Decline to Answer],,,
203,Man,[Decline to Answer],F18,20,a sexual harassment trauma incident.,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
211,Man,[Decline to Answer],F18,22,I verbally mistreated a friend.,-2,West Indian/Caribbean,Trinidad and Tobago,Trinidadian,[Decline to Answer],,,
213,Woman,[Decline to Answer],F18,18,Childhood trauma. Taking me back to the moments it happened and suddenly feeling as if I was there.,-2,"East Asian (e.g. Chinese, Japanese, Korean)",China,Other not listed,Chinese-Canadian,,,
214,Woman,[Decline to Answer],F18,19,"I was walking out of a university building, with earbuds in my ears. Crying and listening to a sad song about how failures are the bridges to a hopeful future. This was the day that I experienced my first academic failure.",-2,"Southeast Asian (e.g. Filipino, Vietnamese, Indonesian)",Canada,Canadian,[Decline to Answer],,,
219,Woman,[Decline to Answer],F18,19,embarrassing myself in front of my family,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
220,Woman,[Decline to Answer],F18,19,very rude customer at work,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
221,Woman,N/A,F18,19,I was in class with my ex-crush. She played with my feelings. She said a lot of horrible things to me.,-2,"East Asian (e.g. Chinese, Japanese, Korean)",China,Chinese,N/A,,,
223,Woman,N/A,F18,19,"Within the most recent year, the memory of an event that continuously returns to my thoughts is an event in which I gave advice to a relative and they took that advice out of context and followed it incorrectly. When that event resulted in an issue, they blamed me for the inadequate outcome. As a result, I was stuck in a loop of self-hatred for about a year and a half, but I eventually reminded myself that the situation was not my fault, not in my control, and also technically not my problem. Thus, I was able to move past the self-hatred portion, but I still thought back to the incident quite often, usually unconsciously, and felt upset for lengthy periods of time.",-2,"South Asian (e.g. Pakistani, Indian)",Canada,Canadian,[Decline to Answer],,,
228,Woman,[Decline to Answer],F18,21,I was sexually assaulted during a dorm party in my first year of university.,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
229,Woman,[Decline to Answer],F18,24,Being sexually assaulted,-2,Other not listed above,Canada,Other not listed,"Half Caucasian, half south Asian",,,
230,Woman,[Decline to Answer],F18,21,"The most frequent recollection is of a sexual assault that happened 4 years ago. The memory sometimes just pops into my head, even though it is unwanted.",-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
233,Woman,no,F18,21,the memory the reoccurs the most is when my dad had a stroke. It was when I was younger but it was a big change on my life. I think about the night it happened and then visiting him in the hospital after.,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
238,Woman,[Decline to Answer],F18,21,Being bullied at the kids in kindergarten.,-2,"East Asian (e.g. Chinese, Japanese, Korean)",China,Canadian,[Decline to Answer],,,
240,Man,[Decline to Answer],F18,21,I was playing in the semifinals of my ultimate tournament. I lost my cool and made a bad foul call and said some dumb things. I really pissed off my defender and felt horribly for what I did.,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
241,Woman,[Decline to Answer],F18,20,"It was a bad sexual experience that I regret having. It occured just over year ago and has come back unexpectedly several times, the most recent being a few days ago.",-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
242,Man,[Decline to Answer],F18,19,A memory of a bad break-up.,-2,West Indian/Caribbean,Canada,West Indian/Caribbean,[Decline to Answer],,,
247,Woman,[Decline to Answer],F18,17,"I had just gotten my first bad mark in a crucial academic year. As a straight A student, I was distraught. I questioned my effort, the teacher's grading and my mental state deteriorated greatly. The memory of me crying and making sure this bad mark would be my last pops into my head frequently now.",-2,"South Asian (e.g. Pakistani, Indian)",India,Indian (from India),[Decline to Answer],,,
248,Woman,[Decline to Answer],F18,18,"I sometimes remember the times when I felt very sad about something that I regret. Like I might be driving or walking and then all of a sudden I just remember that time I said something to someone that I now regret, which makes me feel upset.",-2,Middle Eastern,France,French,[Decline to Answer],,,
249,Man,[Decline to Answer],F18,18,I think about the night my girlfriend broke up with me. It was over the phone. I was on the couch at my house.,-2,"South Asian (e.g. Pakistani, Indian)",Canada,Canadian,[Decline to Answer],,,
253,Woman,[Decline to Answer],F18,17,"the situation that I was asked previous to this section of the survey, was one that sparked intense emotions. my ex-bestfriend sabotaged my outfit and admitted to doing so in order to look better than me, also admitting that she was jealous. all while beginning her to call me the new nickname she gave me... Barbie.",-2,White/Caucasian,Canada,German,[Decline to Answer],,,
254,Woman,[Decline to Answer],F18,18,"A woman yelled at me on the street because she thought I scratched her car with a shopping cart, though I'm fairly sure I didn't.",-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
255,Woman,[Decline to Answer],F18,18,"I randomly remember alot of random old memories from my past without trying to, my most recent one was about when I was 4 years old. I was getting a needle, I don't remember what for, and the nurse couldn't find my veins. Because of this she kept forcefully jabbing my arm and I screamed in pain for a long time.",-2,Other not listed above,Canada,European,Albanian,,,
259,Man,[Decline to Answer],F18,19,Depression due to relationships as well as memories of failing school and letting down family by not raising awareness to my mental state.,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
261,Woman,[Decline to Answer],F18,22,It's a memory from awhile back that upsets me and seems to keep popping up. Certain things such as getting upset probably trigger it to pop up again. It's definitely not a memory I want to keep coming up.,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
262,Woman,[Decline to Answer],F18,17,"A breakup with my first boyfriend. The relationship was bad and there was a great deal of emotional abuse . The breakup involved the police and lots of fights following with my family and friends, 2 years after this event I am still dealing with the drama and backlash.",-2,Middle Eastern,Iran,Iranian,[Decline to Answer],,,
263,Man,[Decline to Answer],F18,18,"I usually have recollection of the time I dislocated my shoulder , during a basketball game I hit down on the ball and my shoulder popped out. I keep remembering that during the day very vividly",-2,Black/African,Other African country,Black/African-Canadian,[Decline to Answer],,,
264,Man,[Decline to Answer],F18,19,The memory I remember is the few moments before I got into a bike accident that gave me a serious concussion.,-2,White/Caucasian,Yugoslavia,Serbian,[Decline to Answer],,,
265,Man,[Decline to Answer],F18,30,"I went to the house of my ex-girlfriend 2 days after a fight during which we separated. When she answered the door she looked at me with disgust, and stated that it was unacceptable and manipulative to show up unannounced after the breakup.
She told me to leave, and went back inside the house. I left.",-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
267,Man,[Decline to Answer],F18,19,"The memory is of me at my grandparents house when I was about 5 years old saying goodbye to my parents as they were leaving for vacation. Afterwards, I felt very empty and hopeless and lonely. I also can vividly remember the room that I merely sat in after they left, not doing anything but feeling saddened by my temporary loss that felt like it would be eternal.",-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
269,Woman,[Decline to Answer],F18,18,"A friend asked me to be his boyfriend and I panicked and I said yes. I keep remembering the moment in class when everyone found out and said they always anticipated that this would happen. My best friend told me she was really happy for me, but I was unhappy dating him.",-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
276,Woman,N/A,F18,18,memories of my grandpa who passed away recently,-2,"East Asian (e.g. Chinese, Japanese, Korean)",China,Chinese,N/A,,,
278,Man,[Decline to Answer],F18,18,My dog was killed by another dog and I was there to see it.,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
280,Woman,[Decline to Answer],F18,19,"when I was about two to three years old, my grandfather was sick so my mother has to send me to my grandmother's house. She was mentally ill and would abuse me and my cousins for almost no reason, when she got emotional she would hit us with whatever in hands. She treated us like animals.",-2,"East Asian (e.g. Chinese, Japanese, Korean)",China,Chinese,[Decline to Answer],,,
282,Man,[Decline to Answer],F18,26,"Phone call with my fiancee, I had explained that I was feeling nervous about our upcoming wedding. We talked and mutually decided to call off the wedding. I now believe this to be one of the biggest mistakes I've ever made as my reasoning and thoughts were being manipulated by one of my friends at the time.",-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
290,Woman,[Decline to Answer],F18,17,memory of fight with boyfriend,-2,White/Caucasian,Canada,German,[Decline to Answer],,,
291,Gender queer / Gender non-conforming / Gender non-binary,genderfluid,F18,18,"A friend I was avoiding for extenuating circumstances asked to speak with me alone at a stressful time. I declined, and when the friend expressed annoyance and contempt I snapped at them. They stormed off and that was the last time we ever talked. Previously we were close friends for a decade.",-2,Hispanic,Canada,Portuguese,[Decline to Answer],,,
294,I prefer to self define (please specify below),unsure,F18,18,"It is a strongly embarrassing memory that made an impact on me psychologically as a child, it popped up as I was trying to fall asleep",-2,White/Caucasian,USA,Canadian,[Decline to Answer],,,
295,Man,[Decline to Answer],F18,19,standing on my friends porch drunk at a party feeling terrified,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
296,Man,[Decline to Answer],F18,18,"The most traumatizing experience of my life, almost getting mugged by bandits on an abandoned hill. Me and my friends managed to get away with only knife cuts.",-2,"South Asian (e.g. Pakistani, Indian)",Bangladesh,Bangladesh,[Decline to Answer],,,
297,Man,[Decline to Answer],F18,19,I was watching television when I got some news. I immediately felt upset and started to cry. I never felt the way I felt before. I still get the same or similar feeling when I recall that memory,-2,White/Caucasian,Canada,Canadian,[Decline to Answer],,,
299,Woman,[Decline to Answer],F18,18,getting a text message from someone and replaying the conversation again and again in my mind,-2,"South Asian (e.g. Pakistani, Indian)",India,Canadian,[Decline to Answer],,,
301,Woman,[Decline to Answer],F18,20,"I remember being in university in the states. I played soccer on a scholarship there and I studied kinesiology. I had a large group of ""friends"" there. Also, the school and soccer program were not as good as I expected.",-2,"Southeast Asian (e.g. Filipino, Vietnamese, Indonesian)",Canada,Canadian,[Decline to Answer],,,
